CQM,Date,Arrival Time,Machine Down?,Problem Code,Fault Found  by vendor,Remarks
582F,07-Jul,19:30,N,NOZ,Out of service,"Replace database, clean scanner and roller. Test OK."
5892,07-Jul,21:15,N,NIC,Image zoom out,"Clean board, scanner, perform TSP. Reboot machine. Test ok"
5802,07-Jul,20:55,N,NIC,Black line,"Check ribbon, clean back scanner and roller. Test OK."
5834,07-Jul,21:45,N,NIA,crossing problem,"Replace stamp, ink roller and test printer motor. Test OK."
588D,07-Jul,22:35,N,NIA,Crossing problem,"Replace stamp, clean scanner and roller. Test OK. *requested by CIT"
580C,07-Jul,21:45,N,NIC,Endorsement,No problem for endorsement but black line. Cleaned scanner. Perform TSP. Serviced machine. Test OK.
580E,08-Jul,11:00,N,NGB,Printer lift error,Clean F23 sensor & MDM PCB. *requested by CIT follow 4C17
589F,08-Jul,10:30,Y,NBZ,Upper door lock,"Fixed the upper door lock, clean sensor and roller. Test OK."
588B,08-Jul,9:25,Y,NOZ,jam cheque,"normal machine, clean roller"
5857,08-Jul,12:30,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.
5870,08-Jul,11:20,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.
5896,08-Jul,9:55,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.
58EE,08-Jul,10:35,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.
5856,08-Jul,12:00,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.
58B3,08-Jul,12:05,Y,NOZ,Touch screen problem,"Check screen and cable, compact MDB, clean scanner and roller. No problem find. Test OK."
5815,08-Jul,11:15,N,HTP,Jam cheque,"jam cheque at aligner,cannot back flush,Action : replaced feed roller and adjust feeder pad"
5800,08-Jul,12:50,N,NGB,F8 sensor engaged,"Clean sensor, clear black line on rear image"
5882,08-Jul,14:55,N,NIC,Blackline,"Clean scanner, board and perform TSP"
58D9,08-Jul,14:00,N,NIC,Image problem,clean scanner and roller. Tested ok.
580E,08-Jul,14:15,Y,HPC,Out of service,Replace MDM board.
5879,08-Jul,13:50,Y,NZA,CAS problem,remove jam advice
58A8,08-Jul,13:35,Y,NIC,Black line,"Caleaned scanner, adjust stamp plate gap, tested ok"
5808,08-Jul,14:20,Y,NIC,"Black line,image small","cleaning and calibraction scanner,replaced stamp plate"
5822,08-Jul,14:30,Y,NIA,Crossing and image,clean scanner TSP. Replaced ink roller.
5802,08-Jul,14:00,Y,NIC,Black line,"Black line,cleaning scanner and adjust stamp ,ink roller"
58E5,08-Jul,14:50,Y,NIC,crossing blur and black line,clean scanner and adjust ink-roller
5871,08-Jul,15:15,Y,NIC,black line,clean scanner. Test ok.
5825,08-Jul,14:45,Y,NIC,Black line,Cleaned scanner. Serviced machine. Test OK.
581C,08-Jul,16:35,Y,NIB,Back blackline,cleaned it and replaced ribbon. *requested by CIT
58F1,08-Jul,15:35,Y,NIA,black line and crossing,clean the black line. Replaced the stamp. Tested ok.
585C,08-Jul,14:10,N,Request,Lower door lock,replaced lower door lock.
5848,08-Jul,15:10,N,NUD,Jammed cheque,"Remove cheque near in feeder, clean sensor and roller. Test  OK."
583D,08-Jul,16:00,N,NUD,Cheque jammed at scanner,"Remove cheque, adjust scanner gap"
5876,08-Jul,15:25,Y,NZA,CAS Blur,Clean printer and scanner.
58DB,08-Jul,15:50,N,NIC,Image unclear,Cleaend scanner. Perform TSP. Serviced machine. Test OK.
581E,08-Jul,16:00,Y,NIC,Black line,"Cleaned the scanner, tested ok"
58C6,08-Jul,15:16,Y,NIC,Blackline,Clean scanner and dust
58A2,08-Jul,16:15,N,NIC,Image blur,Replace ribbon and ink roller.
58DF,08-Jul,16:30,Y,NIC,crossing image unclear,"clean roller and scanner, setting ME"
58AF,08-Jul,17:05,Y,NIA,Crossing blur,Clean scanner. Adjust stamp.
5830,08-Jul,16:35,N,NGB,Out of service,FFFFFFD problem. Adjust the open gate. Tested ok.
586D,08-Jul,18:45,Y,NOZ,jam cheque,machine normal. Serviced machine. Test OK. *offered 17:15
5811,08-Jul,21:00,Y,NGC,Printer spooler failed,"Clean scanner, perform TSP. *offered 18:15"
5896,08-Jul,19:10,Y,NIC,black line,clean scanner. Test ok. *follow 586D
582E,08-Jul,21:20,N,NUD,Jam cheque,Remove jam cheque. Clean scanner and drum belt. *follow 5811
5825,08-Jul,20:00,N,NIC,Blackline,Clean scanner and replace stamp
5871,08-Jul,21:15,Y,HCA,CAS problem & black line,replace cas printer. clean scanner. Replace ink ribbon. Test ok.
5808,08-Jul,21:45,N,NIC,Blackline,"Clean scanner, pressure roller and perform TSP"
585C,09-Jul,11:55,Y,NIA,crossing,replace stamp and ink-roller
5877,09-Jul,9:55,Y,Request,Downlog,downlog one month
5841,09-Jul,10:05,N,NUD,Out of service,Jam cheque at escrow. Removed culved cheque. Clean scanner.
5888,09-Jul,12:40,Y,NZA,CAS,clean and adjust printer. Adjusted upper door lock. *follow 5841
58EE,09-Jul,9:35,Y,NIC,Front crossing image zoom out,Cleaned scanner perform TSP. Service machine. Test OK.
58EA,09-Jul,10:00,Y,Request,PM check,PM check. Replace printer.
58E9,09-Jul,10:45,Y,Request,PM check,PM check.
58E8,09-Jul,11:15,Y,Request,PM check,PM check. Replace red belt.
58E7,09-Jul,11:55,Y,Request,PM check,PM check.
586D,09-Jul,10:00,N,NUD,Jammed cheque,Remove jammed cheque at sorter. Cleaned sensors. Serviced machine. Test OK.
582C,09-Jul,15:00,N,NGB,Out of service,Printer lift failure. Restarted machine. Test OK. *offered 13:15
58DF,09-Jul,13:30,Y,NIA,image lighting,replace stamp and ink-roller change ME setting
5851,09-Jul,13:30,Y,NIC,Black line,clean scanner and roller. Tested ok.
58DB,09-Jul,14:35,Y,NIC,Image blur,"Clean scanner & paper path, perform TSP"
58FE,09-Jul,14:00,N,NOA,Out of service,Cutoff wrong. Reset cutoff and clean scanner. Test ok.
58E5,09-Jul,14:00,Y,NIA,Crossing unclear,Replaced stamp & ink roller. Cleaned scanner & perform TSP. Serviced machine. Test OK.
58D6,09-Jul,15:50,Y,NIC,Image blur,Replaced ribbon. Cleaned scanner perform TSP. Service machine. Test OK. *follow 582C
5839,09-Jul,15:15,N,NOA,Out of service,Cut off handling.
582A,09-Jul,15:50,N,NGB,Beep sound,No cheque found. Clean scanner and adjust ink roller.
5885,09-Jul,15:50,Y,NIA,Crossing problem,"Replace ink roller and adjust it, clean scanner and roller. Test OK."
5892,09-Jul,16:30,Y,NIC,Black line,Cleaned scanner. Service machine. Test OK.
582B,09-Jul,19:00,N,NIC,Crossing,Clean scanner. *requested by CIT
5836,09-Jul,16:30,Y,NIB,Ribbon shift ,Adjust dot matrix printer gap
584E,09-Jul,16:10,Y,NIA,Crossing,Clean scanner and replace new stamp
5824,09-Jul,17:00,N,NIC,Image blur,TSP.
5876,09-Jul,18:00,Y,HCA,cas blur ,replace cas printer. Test ok
5882,09-Jul,17:15,N,NIC,Image small,Perfotm TSP. Replug scanner cable.
58E5,09-Jul,19:40,N,NGB,DPM hang,Reboot dpm and clean board.
58B7,09-Jul,19:50,Y,NIA,crossing blur,adjust crossing and ink roller gap
582A,09-Jul,22:20,N,NGB,CQ Jam,Clean dust and perform tsp
5871,09-Jul,21:45,Y,NZA,Printer driver failure,Clean printer and reinsert paper.
58AD,10-Jul,9:45,N,NIB,Endorsement,Replace ribbon and stamp.
58E8,10-Jul,11:20,Y,Request,upgrade,Upgrade application
5874,10-Jul,12:25,Y,Request,Health check,Replace stamp & ink roller
5825,10-Jul,10:30,Y,NUB,Out of service,"machine arrived normal,cannot multi insert cheque. Action : cleaning feed roller and adjust thickness adjust knob. *RI. NFF"
58A2,10-Jul,15:15,Y,Request,Health check,"Replaced the O-ring x6, solenoid of bin 2."
5817,10-Jul,9:15,Y,Request,PM check,PM check. Replace stamp and ink roller.
5816,10-Jul,10:10,N,Request,PM check and Out of service,PM check. Remove jammed cheque at bend.
5815,10-Jul,10:55,Y,Request,PM check,PM check.
5814,10-Jul,11:40,Y,Request,PM check,PM check. Replaec red belt.
5858,10-Jul,12:50,Y,Request,PM check,PM check.
5859,10-Jul,13:25,Y,Request,PM check,PM check. Replace stamp and ink roller.
58B3,10-Jul,10:25,Y,HCA,Black line,"Clean scanner, stamp and roller, replace print head. Test OK."
58C5,10-Jul,11:00,N,NZA,CAS alignment,Reinstalled CAS. Serviced machine. Test OK.
583B,10-Jul,11:30,Y,NZA,No cas,"machine arrived normal,Action : cleaning and adjust eject roller"
5890,10-Jul,13:15,N,HTP,Jammed cheque,"Replace 351 belt, clean sensor and roller. Test OK. *requested by CIT"
58D6,10-Jul,13:00,Y,NIC,Blackline,Clean scanner and dust
5892,10-Jul,15:05,Y,NIC,Blackline,"Clean scanner, ribbon, drum belt, pressure roller. *request by CIT"
5818,10-Jul,12:15,Y,NOZ,Out of service,Machine normal. Test OK.
5848,10-Jul,13:50,N,NGZ,Out of sevice,"ACLT timeout, check lan cable, clean sensor and roller. Test OK."
58A9,10-Jul,14:20,N,NIC,Black line at back,Clean scanner and recalibrate scanner. Test ok.
58E4,10-Jul,13:10,Y,NIA,Black line,"cleaning scanner,replaced stamp plate,ink roller"
582D,10-Jul,16:15,N,NIC,Black line,Clean scanner and roller. Test OK. *requested by CIT
58E5,10-Jul,15:15,Y,NIC,Black line,Cleaned scanner. Serviced machine. Test OK.
585C,10-Jul,14:30,Y,NIC,Black line at back,Cleaned scanner perform TSP. Service machine. Test OK.
5896,10-Jul,14:00,Y,NIC,Black line,Cleaned scanner. Service machine. Test OK.
58DC,10-Jul,13:25,Y,NZA,cas blur ,cleaning cas printer
583E,10-Jul,17:15,N,NIC,Black line,"Replace stamp and ribbon, clean scanner and roller. Test OK. *requested by CIT"
581A,10-Jul,16:20,Y,NIC,Black line,"Clean scanner & stamp, perform TSP. *offered 15:45. *RI"
589E,10-Jul,15:25,N,NIC,Image small,"Clean scanner, DPM and roller, tsp. Test OK. *requested by CIT"
58CB,10-Jul,15:16,N,NOA,No advice,branch staff unable to load paper. Hold on admin screen. Restart the CAS printer. Reinstall the advice. Tested ok.
58D8,10-Jul,17:00,Y,NZA,CAS,Clean printer and scanner.
582B,10-Jul,16:30,Y,NIA,Blackline,Replace stamp and clean scanner
5842,10-Jul,17:15,Y,NIA,Crossing blur,"Replace stamp, ink roller and ribbon."
5869,10-Jul,16:40,Y,NIC,image unclear,cleaning and calibration scanner
5849,10-Jul,17:05,Y,NIC,"Black line, ribbon low ink","Clean scanner & stamp, perform TSP, informed diebold to replace ribbon."
5806,10-Jul,16:30,N,NGB,Jam cheque,"no jam cheque. Ramp problem. Clean clean scanner and sensors, replace ink-roller"
58EA,10-Jul,18:45,N,NIC,Back image,"clean scanner, smj. Stablized cable. Replaced ribbon and adjusted it. *requested by CIT"
5820,10-Jul,20:20,Y,NBZ,Upper door lock,replaced upper door lock. *requested by CIT
5808,10-Jul,20:45,N,NBA,Cheque jam,"Cheque jam at bin 1, the bin wire is shift. Fix bin wire and remove cheque. Test ok."
5811,10-Jul,21:25,N,NGB,Out of service,"The feeder gate is opened, FD error. Rescrew the feeder gate and test ok. *requested by CIT"
588A,11-Jul,11:00,Y,Request,Health heck,Replace micr head. Perform TSP.
58CC,11-Jul,11:35,Y,Request,Health heck,"Replaec stamp, ink roller and ribbon. Clean sensor and roller."
5806,11-Jul,9:45,N,NUD,Cheque jam,Cheque jam at aligner. Adjust the knob and clean sensors. Test ok.
5887,11-Jul,15:40,Y,Request,Health check,replaced the CAS printer. Tested ok.
583B,11-Jul,15:00,Y,Request,Health check,replaced the CAS printer. Tested ok.
588E,11-Jul,10:00,N,NGB,Jammed cheque,No jammed found. Cleaned sensor F28. Serviced machine. Test Ok.
580E,11-Jul,11:00,N,NGB,Out of service,Stamp error. Cleaned stamp sensor. Serviced machine. Test Ok.
5874,11-Jul,12:15,N,NIB,Endorsement,replaced ribbon and adjusted it.
58A9,11-Jul,12:50,Y,NOZ,CAS blur,No problem found on CAS printer. Ribbon shift. Reinstall ribbon.
58B2,11-Jul,12:55,N,NOZ,jam cheque,take away a card at input slot. Service machine.
58E5,11-Jul,16:15,N,NGZ,check hqs,call atm open controller. Service machine. *requested by CIT
58A2,11-Jul,20:55,N,NUD,Jam cheque on bin 1,adjust the cheque of bin 1. tested ok.
58E2,12-Jul,10:15,Y,Request,Upgrade application,wrong password. Need follow other disk.
58B5,12-Jul,12:15,N,NUD,Jam cheque on bin 1,removed jam cheque. Adjust the cheque of bin 1. clean the roller of bin 1. tested ok. *follow 58E2
5831,12-Jul,18:15,N,NUD,Jam cheque,Remove jammed cheque at escrow. Clean F8 sensor and roller.
580E,12-Jul,18:45,N,NGB,Out of service.,clean and adjust the stamp and ink roller. Tested ok.
58E2,13-Jul,16:00,Y,Request,Upgarde,Upgrade application
58BA,13-Jul,9:15,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.replace red belt and flat belt
5806,13-Jul,10:00,N,NUD,Jam cheque on bin 1,adjust the cheque of bin 1. clean the sensor and Flat belt of bin 1. tested ok.
5892,13-Jul,10:20,Y,Request,Health check,Cleaned sensors & rollers. 
589E,13-Jul,13:55,N,NIC,Image problem,"Clean scanner, roller and DPM box, tsp. Test OK."
5807,13-Jul,14:00,Y,NIA,Crossing & endorsement,"Replaced stamp, ink roller & ribbon. Serviced machine. Test OK."
585C,13-Jul,13:20,N,NIB,Endorsement,Replaced ribbon. Serviced machine. Test OK.
5867,13-Jul,14:00,Y,NIB,Low ink,Replace ribbon
